label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14
0.9862195139947327,0.5533003648863498,0.2311665972818206,0.0001690261987304101,0.007305111150141873,0.0002028936799150695,0.018712025566395264,0.07973037874123418,0.012905919317130735,0.9152037191137657,0.9005875640019223,0.0017990968057418348,0.001454934726612458,0.10786715822342373
0.014208867840818422,0.050485822264131563,0.05661933850846572,0.09223235013076718,0.028760676332297227,9.145112622154625e-05,0.002987110045221464,0.14215930892126,0.000828708808099997,0.8866260940576277,0.9299908955489775,0.02132693210006179,0.016645708590093372,0.0727181245855894
0.5849438977202637,0.771089808113692,0.39941126381585734,8.924551858489398e-05,0.02743886771408038,0.0008465556292374897,0.0671828813206071,0.20411014570072064,0.010951358972860294,0.6419963453025558,0.6589266539857153,0.007626751465441473,0.005653060712236036,0.25208333099534813
0.15187826353270342,0.05231758652224552,0.24624317893317432,0.0009077247986030372,0.021560255383463497,0.0005648988400374767,0.12525315253202626,0.327877789808671,0.04307372797048891,0.8493416721587876,0.7379222086054393,0.3332204732379934,0.20243327754122278,0.15978633873407141
0.8924964562884659,0.5592887384366791,0.3716187556757795,1.091204059166705e-05,0.006919090814883169,0.0016442916106767591,0.09228242958816694,0.17317981631555912,0.008612641242172352,0.695299330559082,0.48468448188707414,0.02506794067294464,0.01490159860923197,0.008613668350176684
0.08900863322530442,0.10676195253697474,0.043265295186856186,0.0024056849000586873,0.04347350042257901,0.00010378879854217233,0.0035725139895287773,0.0490034094438713,0.0010581635072147344,0.9600565921254384,0.9233476888856317,0.02100739640337625,0.014253500432500506,0.0011764963243028968
0.7533408027600507,0.23989443404407398,0.17876721354212602,0.0007087858610380642,0.006003237594075444,0.00013222904515612367,0.008469758100229501,0.472763020520637,0.004296398380153402,0.9114813934834437,0.861161510761551,0.08445934522356534,0.030722628294496682,0.27314694021368574
0.9205501733194067,0.6326459238215432,0.5663597542723449,0.0006791905131999142,0.007541268637913562,0.0003598356940231339,0.03675717183376732,0.3757877675095353,0.051445359030794294,0.9399642175252149,0.8079311100927302,0.016767510261546267,0.01627669586220701,0.4604910826326201
0.4640916576312649,0.4684967215700649,0.3876946792649712,0.00023635947594925224,0.021886634186735945,0.44400169440331894,0.18553243949158704,0.3975323682867396,0.03689510241558115,0.6734079741314982,0.5886846049014585,0.05484509735308948,0.04675000308916327,0.5282270135440059
0.5162137734116335,0.6527465255935808,0.2115089011654641,6.870505500368619e-05,0.004871657953513393,0.00014868957831916187,0.009186931672086288,0.2917579830966351,0.011346646356815954,0.9214335457647046,0.9237824656481681,0.030408116444233045,0.021754112787839588,0.2830589900929959
0.35825210353005127,0.22754530235083378,0.1632796350198358,0.0003463082141122139,0.025322099054640373,6.953480756924845e-05,0.012311677734850389,0.09384134394811294,0.0023636531487215744,0.9442580620567027,0.8954158678958836,0.006816859819897442,0.0057186504717147545,0.08675464731222006
